File,numBytesInfoData,padding0,pingRate_Hz,beamSpacing,depthMode,subDepthMode,distanceBtwSwath,detectionMode,pulseForm,padding1,frequencyMode_Hz,freqRangeLowLim_Hz,freqRangeHighLim_Hz,maxTotalTxPulseLength_sec,maxEffTxPulseLength_sec,maxEffTxBandWidth_Hz,absCoeff_dBPerkm,portSectorEdge_deg,starbSectorEdge_deg,portMeanCov_deg,stbdMeanCov_deg,portMeanCov_m,starbMeanCov_m,modeAndStabilisation,runtimeFilter1,runtimeFilter2,pipeTrackingStatus,transmitArraySizeUsed_deg,receiveArraySizeUsed_deg,transmitPower_dB,SLrampUpTimeRemaining,padding2,yawAngle_deg,numTxSectors,numBytesPerTxSector,headingVessel_deg,soundSpeedAtTxDepth_mPerSec,txTransducerDepth_m,z_waterLevelReRefPoint_m,x_kmallToall_m,y_kmallToall_m,latLongInfo,posSensorStatus,attitudeSensorStatus,padding3,latitude_deg,longitude_deg,ellipsoidHeightReRefPoint_m,bsCorrectionOffset_dB,lambertsLawApplied,iceWindow,activeModes,dgtime,dgdatetime
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.621175289154053,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.80426788330078,-54.24297332763672,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.59161376953125,1467.593017578125,0.6405009627342224,0.22624266147613525,0.015771199017763138,0.0011185631155967712,1,0,0,0,45.443181586599785,-83.72466242831199,139.1307373046875,0.0,1,0,0,1624191939.7416532,2021-06-20 12:25:39.741653
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.47719144821167,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.27420425415039,-54.75131607055664,-69,68,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.81988525390625,1467.593017578125,0.6116051077842712,0.2532939910888672,0.01515650562942028,-0.0011112435022369027,2,0,0,0,45.443183724576066,-83.72466619525322,139.14100646972656,0.0,1,0,0,1624191939.9032674,2021-06-20 12:25:39.903267
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.47719144821167,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.26972579956055,-54.75041961669922,-69,68,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.8200378417969,1467.593017578125,0.6115602254867554,0.2533346116542816,0.015154140070080757,-0.0011141729773953557,2,0,0,0,45.443183729059776,-83.72466620273346,139.14100646972656,0.0,1,0,0,1624191939.9035745,2021-06-20 12:25:39.903574
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.6176581382751465,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.50908279418945,-55.50970458984375,-67,70,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.8214111328125,1467.593017578125,0.5970777869224548,0.26468563079833984,0.012462767772376537,-0.0011656357673928142,2,0,0,0,45.44318653211421,-83.72467087912128,139.14100646972656,0.0,1,0,0,1624191940.0956254,2021-06-20 12:25:40.095625
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.6176581382751465,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.50416946411133,-55.509254455566406,-67,70,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.8213195800781,1467.593017578125,0.597078800201416,0.2646787166595459,0.012456479482352734,-0.0011628896463662386,2,0,0,0,45.44318653659792,-83.72467088660152,139.14100646972656,0.0,1,0,0,1624191940.0959322,2021-06-20 12:25:40.095932
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.47598934173584,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.26310348510742,-55.744876861572266,-67,71,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.76031494140625,1467.5870361328125,0.6114708185195923,0.24643397331237793,0.00827294122427702,0.001299181953072548,2,0,0,0,45.443188891169925,-83.72467481477776,139.14100646972656,0.0,1,0,0,1624191940.2572556,2021-06-20 12:25:40.257256
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.47598934173584,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.25494384765625,-55.74386215209961,-67,71,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.7601623535156,1467.5870361328125,0.6115243434906006,0.24637176096439362,0.008263805881142616,0.0013051391579210758,2,0,0,0,45.44318889564989,-83.72467482225177,139.14100646972656,0.0,1,0,0,1624191940.2575624,2021-06-20 12:25:40.257562
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.617203712463379,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.27643585205078,-55.699405670166016,-67,70,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.49639892578125,1467.5780029296875,0.659212589263916,0.19316482543945312,0.0028291712515056133,0.005050635896623135,2,0,0,0,45.443191696126206,-83.72467949433845,139.14100646972656,0.0,1,0,0,1624191940.4494362,2021-06-20 12:25:40.449436
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.617203712463379,2,1,0,0,0,0,0,300000.0,290000.0,350000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,54.273094177246094,-55.69812774658203,-67,70,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,309.49560546875,1467.5780029296875,0.6593066453933716,0.19306336343288422,0.002822236390784383,0.005055848974734545,2,0,0,0,45.44319170060617,-83.72467950181246,139.14100646972656,0.0,1,0,0,1624191940.4497433,2021-06-20 12:25:40.449743
/Users/vschmidt/gitsrc/kmall/data/0467_20210620_122539_ASVBEN.kmall,152,0,5.61116361618042,2,1,0,0,0,0,0,300000.0,260000.0,320000.0,0.00010099999781232327,3.7369998608483e-05,14283.0,0.0,55.0,-55.0,55.59214782714844,-54.42071533203125,-70,67,41,3,33,0,1.0,1.0,-0.0,0,0,0.0,3,48,308.173828125,1467.572998046875,0.7414485812187195,0.11426595598459244,0.005004537291824818,0.005969685036689043,1,0,0,0,45.4431969515593,-83.72468826207515,139.0223846435547,0.0,1,0,0,1624191940.802419,2021-06-20 12:25:40.802419
